original-domain,domain-name,issuer-name,issuer-country,cert-start,cert-end,cert-duration,fuzzer,http-active,https-active,dns-ns,dns-a,dns-mx,geoip-country,banner-http,ssdeep-score
bell.ca,BLMCPX-D01.qc.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,gasp-auth.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.gasp-auth.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.gasp-auth.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,gasp-bigdata-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.gasp-bigdata-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.gasp-bigdata-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,gasp-emails.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.gasp-emails.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.gasp-emails.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,gasp-permet-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,qa.gasp-permet-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,staging.gasp-permet-api.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,gasp-ocr.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,sapentbwqa.intranet.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,askhr.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,BellmediaSharepoint.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,BuzzArchive.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,Buzz.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,efm.espace.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
bell.ca,Engops.int.bell.ca,Entrust Inc.,US,2020-11-27,2021-11-27,365,original*,0,0,,,,,,
